"Min,Max,Modal Price from Maharashtra,Buldhana[Maize],Lonar from 01-Jan-2010To23-Oct-2020 (Total-110) (Total-110)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Buldhana,Lonar,Maize,Yellow,FAQ,1000,1080,1040,14-Oct-20
2,Buldhana,Lonar,Maize,Yellow,FAQ,1050,1120,1085,4-Sep-20
3,Buldhana,Lonar,Maize,Yellow,FAQ,1040,1150,1095,2-Jun-20
4,Buldhana,Lonar,Maize,Yellow,FAQ,1000,1100,1050,1-Jun-20
5,Buldhana,Lonar,Maize,Yellow,FAQ,1900,1951,1926,25-Feb-19
6,Buldhana,Lonar,Maize,Yellow,FAQ,1450,1581,1516,1-Dec-18
7,Buldhana,Lonar,Maize,Yellow,FAQ,875,990,932,29-May-18
8,Buldhana,Lonar,Maize,Yellow,FAQ,1000,1100,1050,18-May-18
9,Buldhana,Lonar,Maize,Yellow,FAQ,1450,1450,1450,25-Aug-16
10,Buldhana,Lonar,Maize,Yellow,FAQ,1450,1600,1525,9-Aug-16
11,Buldhana,Lonar,Maize,Yellow,FAQ,1430,1526,1478,26-Sep-15
12,Buldhana,Lonar,Maize,Yellow,FAQ,1350,1421,1386,19-Sep-15
13,Buldhana,Lonar,Maize,Yellow,FAQ,1350,1420,1385,16-Sep-15
14,Buldhana,Lonar,Maize,Other,FAQ,1150,1300,1225,10-Jul-13
15,Buldhana,Lonar,Maize,Other,FAQ,1150,1250,1200,8-Jul-13
16,Buldhana,Lonar,Maize,Other,FAQ,1155,1200,1175,28-Jun-13
17,Buldhana,Lonar,Maize,Other,FAQ,1100,1150,1125,10-Jun-13
18,Buldhana,Lonar,Maize,Other,FAQ,1200,1300,1250,1-Jun-13
19,Buldhana,Lonar,Maize,Other,FAQ,1100,1250,1175,31-May-13
20,Buldhana,Lonar,Maize,Other,FAQ,1100,1150,1125,30-May-13
21,Buldhana,Lonar,Maize,Other,FAQ,1150,1200,1175,29-May-13
22,Buldhana,Lonar,Maize,Other,FAQ,1090,1130,1110,23-May-13
23,Buldhana,Lonar,Maize,Other,FAQ,1100,1200,1150,19-May-13
24,Buldhana,Lonar,Maize,Other,FAQ,1100,1220,1160,16-May-13
25,Buldhana,Lonar,Maize,Yellow,FAQ,1100,1250,1175,15-May-13
26,Buldhana,Lonar,Maize,Other,FAQ,1060,1175,1118,11-May-13
27,Buldhana,Lonar,Maize,Other,FAQ,950,1100,1025,9-May-13
28,Buldhana,Lonar,Maize,Other,FAQ,950,1150,1050,6-May-13
29,Buldhana,Lonar,Maize,Other,FAQ,1150,1250,1200,2-May-13
30,Buldhana,Lonar,Maize,Other,FAQ,1150,1250,1200,22-Apr-13
31,Buldhana,Lonar,Maize,Other,FAQ,1190,1250,1220,17-Apr-13
32,Buldhana,Lonar,Maize,Other,FAQ,1150,1230,1200,16-Apr-13
33,Buldhana,Lonar,Maize,Other,FAQ,1150,1250,1200,10-Apr-13
34,Buldhana,Lonar,Maize,Other,FAQ,1150,1230,1190,8-Apr-13
35,Buldhana,Lonar,Maize,Other,FAQ,1100,1178,1139,5-Apr-13
36,Buldhana,Lonar,Maize,Other,FAQ,1150,1191,1171,4-Apr-13
37,Buldhana,Lonar,Maize,Other,FAQ,1150,1260,1205,23-Feb-13
38,Buldhana,Lonar,Maize,Other,FAQ,1100,1150,1125,14-Feb-13
39,Buldhana,Lonar,Maize,Other,FAQ,1000,1140,1070,2-Feb-13
40,Buldhana,Lonar,Maize,Other,FAQ,1050,1150,1100,1-Feb-13
41,Buldhana,Lonar,Maize,Other,FAQ,1050,1190,1120,31-Jan-13
42,Buldhana,Lonar,Maize,Other,FAQ,1050,1190,1120,30-Jan-13
43,Buldhana,Lonar,Maize,Other,FAQ,1050,1190,1120,28-Jan-13
44,Buldhana,Lonar,Maize,Other,FAQ,1050,1250,1150,18-Jan-13
45,Buldhana,Lonar,Maize,Yellow,FAQ,1500,1500,1500,16-Jan-13
46,Buldhana,Lonar,Maize,Other,FAQ,1150,1250,1200,18-Dec-12
47,Buldhana,Lonar,Maize,Other,FAQ,1100,1175,1138,12-Dec-12
48,Buldhana,Lonar,Maize,Yellow,FAQ,1150,1200,1175,10-Dec-12
49,Buldhana,Lonar,Maize,Other,FAQ,1206,1206,1206,3-Dec-12
50,Buldhana,Lonar,Maize,Other,FAQ,950,1000,975,6-Aug-12
51,Buldhana,Lonar,Maize,Other,FAQ,1075,1100,1080,20-Jul-12
52,Buldhana,Lonar,Maize,Other,FAQ,1050,1100,1075,17-Jul-12
53,Buldhana,Lonar,Maize,Other,FAQ,995,1100,1048,16-Jul-12
54,Buldhana,Lonar,Maize,Other,FAQ,950,1000,975,13-Jul-12
55,Buldhana,Lonar,Maize,Other,FAQ,900,950,925,5-Jul-12
56,Buldhana,Lonar,Maize,Other,FAQ,950,1000,975,27-Jun-12
57,Buldhana,Lonar,Maize,Other,FAQ,900,950,925,26-Jun-12
58,Buldhana,Lonar,Maize,Yellow,FAQ,950,1000,975,14-Jun-12
59,Buldhana,Lonar,Maize,Other,FAQ,950,1020,985,13-Jun-12
60,Buldhana,Lonar,Maize,Other,FAQ,930,980,955,12-Jun-12
61,Buldhana,Lonar,Maize,Other,FAQ,950,1000,950,11-Jun-12
62,Buldhana,Lonar,Maize,Other,FAQ,900,980,940,5-Jun-12
63,Buldhana,Lonar,Maize,Other,FAQ,950,1000,975,4-Jun-12
64,Buldhana,Lonar,Maize,Other,FAQ,950,1000,975,2-Jun-12
65,Buldhana,Lonar,Maize,Other,FAQ,950,975,963,1-Jun-12
66,Buldhana,Lonar,Maize,Other,FAQ,950,980,965,29-May-12
67,Buldhana,Lonar,Maize,Other,FAQ,900,975,938,28-May-12
68,Buldhana,Lonar,Maize,Other,FAQ,900,1000,950,14-May-12
69,Buldhana,Lonar,Maize,Other,FAQ,950,1000,975,12-May-12
70,Buldhana,Lonar,Maize,Other,FAQ,950,1020,985,11-May-12
71,Buldhana,Lonar,Maize,Other,FAQ,950,1060,1005,10-May-12
72,Buldhana,Lonar,Maize,Other,FAQ,975,1025,1000,9-May-12
73,Buldhana,Lonar,Maize,Other,FAQ,950,1060,1005,7-May-12
74,Buldhana,Lonar,Maize,Other,FAQ,950,1030,990,30-Apr-12
75,Buldhana,Lonar,Maize,Other,FAQ,950,1050,1000,17-Apr-12
76,Buldhana,Lonar,Maize,Other,FAQ,950,1080,1015,11-Apr-12
77,Buldhana,Lonar,Maize,Other,FAQ,1000,1050,1025,21-Mar-12
78,Buldhana,Lonar,Maize,Other,FAQ,1000,1550,1025,17-Mar-12
79,Buldhana,Lonar,Maize,Other,FAQ,975,1040,1008,3-Mar-12
80,Buldhana,Lonar,Maize,Other,FAQ,1000,1040,1020,25-Feb-12
81,Buldhana,Lonar,Maize,Other,FAQ,1000,1050,1025,21-Feb-12
82,Buldhana,Lonar,Maize,Other,FAQ,951,951,951,7-Jan-12
83,Buldhana,Lonar,Maize,Other,FAQ,1000,1050,1025,24-Dec-11
84,Buldhana,Lonar,Maize,Other,FAQ,891,891,891,10-Dec-11
85,Buldhana,Lonar,Maize,Other,FAQ,975,975,975,26-Aug-11
86,Buldhana,Lonar,Maize,Other,FAQ,851,851,851,23-Aug-11
87,Buldhana,Lonar,Maize,Other,FAQ,970,970,970,17-Aug-11
88,Buldhana,Lonar,Maize,Other,FAQ,1050,1050,1050,12-Aug-11
89,Buldhana,Lonar,Maize,Other,FAQ,1040,1040,1040,29-Jul-11
90,Buldhana,Lonar,Maize,Other,FAQ,901,1040,971,28-Jul-11
91,Buldhana,Lonar,Maize,Other,FAQ,1070,1070,1070,23-Jul-11
92,Buldhana,Lonar,Maize,Other,FAQ,950,1050,1000,18-Jul-11
93,Buldhana,Lonar,Maize,Other,FAQ,840,990,850,12-Jul-11
94,Buldhana,Lonar,Maize,Other,FAQ,900,900,900,9-Jul-11
95,Buldhana,Lonar,Maize,Other,FAQ,850,1000,913,4-Jul-11
96,Buldhana,Lonar,Maize,Other,FAQ,840,900,875,27-Jun-11
97,Buldhana,Lonar,Maize,Other,FAQ,850,920,885,22-Jun-11
98,Buldhana,Lonar,Maize,Other,FAQ,900,950,925,20-Jun-11
99,Buldhana,Lonar,Maize,Other,FAQ,850,905,877,18-Jun-11
100,Buldhana,Lonar,Maize,Other,FAQ,900,950,925,17-Jun-11
101,Buldhana,Lonar,Maize,Other,FAQ,975,1050,1012,30-Apr-11
102,Buldhana,Lonar,Maize,Other,FAQ,1000,1035,1017,25-Apr-11
103,Buldhana,Lonar,Maize,Other,FAQ,950,987,968,19-Apr-11
104,Buldhana,Lonar,Maize,Other,FAQ,840,840,840,3-Sep-10
105,Buldhana,Lonar,Maize,Other,FAQ,1000,1000,1000,26-Aug-10
106,Buldhana,Lonar,Maize,Other,FAQ,890,1092,1000,11-Aug-10
107,Buldhana,Lonar,Maize,Other,FAQ,840,840,840,4-Mar-10
108,Buldhana,Lonar,Maize,Other,FAQ,840,840,840,20-Feb-10
109,Buldhana,Lonar,Maize,Other,FAQ,840,840,840,3-Feb-10
110,Buldhana,Lonar,Maize,Other,FAQ,840,840,840,27-Jan-10
